Composer,Performer,Perf_Nationality,Perf_Gender,Piece,Length,Tempo,Time_Signature,Freq_C,Freq_C#/Db,Freq_D,Freq_D#/Eb,Freq_E,Freq_F,Freq_F#/Gb,Freq_G,Freq_G#/Ab,Freq_A,Freq_A#/Bb,Freq_B,Unique_Velocities,Average_Velocity,Min_Velocity,Max_Velocity
Beethoven,FrankDupree,Germany,M,SonataNo32InCMinorOp1112ndMov,1036,204,4/4,0.12957,0.01695,0.13303,0.03781,0.14536,0.07654,0.01487,0.20104,0.03458,0.09787,0.0264,0.08599,102,60.87,3,110
Beethoven,SarahTuan,USA,F,32VariationsInCMinor,683,201,4/4,0.18209,0.01674,0.115,0.08478,0.04069,0.10166,0.03307,0.18019,0.05144,0.06886,0.03593,0.08955,108,66.38,3,111
Beethoven,BogdanClaudiuDulu,Romania,M,SonataInCMajorOp531stMov,514,204,4/4,0.13496,0.03363,0.09028,0.05195,0.11921,0.08846,0.04241,0.12496,0.05816,0.09664,0.03893,0.12042,96,60.93,3,105
Beethoven,MarouanBenabdallah,Hungary,M,SonataInEFlatMajorOp71stMov,354,196,4/4,0.08637,0.02929,0.10648,0.15612,0.03822,0.13006,0.02631,0.11144,0.07669,0.05758,0.14917,0.03227,94,70.67,3,107
Beethoven,PavelGintov,Ukraine,M,RondoOp129,339,207,4/4,0.10397,0.03744,0.13946,0.05962,0.07931,0.03708,0.07505,0.15969,0.04489,0.08109,0.05181,0.13059,110,69.21,3,115
Beethoven,BrendaHuang,China,F,SonataInAFlatMajorOp1101stMov,402,221,4/4,0.12907,0.08422,0.02773,0.19137,0.0267,0.08114,0.02396,0.09449,0.17049,0.0226,0.1075,0.04074,89,53.06,6,101
Beethoven,ChengGuang,China,M,SonataNo18InEFlatMajorOp31No32ndMov,292,208,4/4,0.14357,0.07674,0.04565,0.15845,0.03573,0.09262,0.01257,0.12273,0.12703,0.02613,0.1257,0.03308,96,65.16,3,105
Beethoven,LeylaKabuli,USA,F,SonataNo17Op31No21stMov,362,215,4/4,0.05324,0.09598,0.1351,0.01883,0.12713,0.0967,0.03803,0.06338,0.05143,0.21767,0.04382,0.05867,103,63.37,3,112
Beethoven,RanSun,USA,F,SonataNo31InAFlatMajorOp1101stMov,399,227,4/4,0.12812,0.08507,0.02604,0.19236,0.02778,0.08125,0.025,0.09306,0.17222,0.02361,0.1059,0.03958,94,57.69,2,100
Beethoven,ScottMeek,Canada,M,SonataOp27No21stMov,332,208,4/4,0.04947,0.18384,0.02382,0.11034,0.09568,0.01954,0.07349,0.03664,0.25143,0.06759,0.02871,0.05945,103,66.15,3,109
Beethoven,GregoryDeTurck,USA,M,SonataInBFlatMajorOp221stMov,333,202,4/4,0.11694,0.0354,0.12271,0.0721,0.05794,0.16964,0.02255,0.08521,0.01914,0.1096,0.1699,0.01888,103,69.73,3,117
Beethoven,Chia-LinYang,China,F,SonataInAMajorOp2No21stMov,314,221,4/4,0.08008,0.06662,0.09616,0.04989,0.15523,0.05612,0.05546,0.06695,0.09518,0.12996,0.03938,0.10896,98,65.41,3,114
Beethoven,TracyWong,USA,F,SonataNo5InCMinorOp10No11stMov,256,204,4/4,0.17313,0.02081,0.08609,0.13434,0.03169,0.12725,0.02365,0.1684,0.06528,0.02744,0.08467,0.05724,90,66.66,3,105
Beethoven,KinberlyHou,USA,F,SonataNo10InGMajorOp14No2,283,203,4/4,0.08969,0.04293,0.20008,0.0391,0.08317,0.03986,0.08087,0.13032,0.02606,0.13147,0.04983,0.08662,95,61.79,4,105
Beethoven,LeylaKabuli,USA,F,32VariationsInCMinor,2225,213,4/4,0.09609,0.06643,0.11438,0.0455,0.11666,0.06321,0.06861,0.10037,0.06295,0.13307,0.03118,0.10153,113,61.56,3,121
Beethoven,MayukiMiyashita,Japan,F,SonataNo27Op901stMov,323,184,4/4,0.0899,0.04419,0.07276,0.04648,0.13943,0.03581,0.11848,0.12381,0.02933,0.09867,0.04305,0.1581,93,62.33,6,105
Beethoven,MayukiMiyashita,Japan,F,SonataNo3InCMajorOp2No3,896,194,4/4,0.1209,0.0383,0.12348,0.04036,0.12124,0.07213,0.0656,0.14597,0.04242,0.09514,0.02318,0.11128,105,66.54,3,112
Beethoven,SerhiiMorozov,Ukraine,M,SonataInCMajorOp531stMov,489,205,4/4,0.13371,0.03346,0.09059,0.052,0.12014,0.08848,0.04296,0.12451,0.05819,0.09768,0.03889,0.11938,106,63.19,3,109
Beethoven,Chu-FangHuang,China,F,SonataNo26InEFlatMajorOp81A1stMov,389,209,4/4,0.11676,0.01594,0.08704,0.13485,0.01348,0.14925,0.02421,0.10604,0.07447,0.04015,0.20625,0.03157,95,57.54,6,104
Beethoven,MayukiMiyashita,Japan,F,SonataNo3InCMajorOp2No32ndMov,433,185,4/4,0.05755,0.06229,0.04807,0.08328,0.14895,0.0149,0.10223,0.08531,0.07177,0.11984,0.02234,0.18348,86,54.85,3,102
Beethoven,Chu-FangHuang,China,F,SonataNo26InEFlatMajorOp81A2ndMov,228,165,4/4,0.15367,0.04128,0.11239,0.04587,0.06307,0.10206,0.05505,0.15023,0.05963,0.09404,0.07683,0.04587,83,48.23,9,96
Beethoven,Chu-FangHuang,China,F,SonataNo26InEFlatMajorOp81A3rdMov,258,198,4/4,0.08495,0.02438,0.08862,0.15443,0.01809,0.12008,0.04772,0.13975,0.0721,0.03146,0.19455,0.02386,98,62.84,6,106
Beethoven,YangSong,China,F,SonataNo17InDMinorOp31No21stMov,394,210,4/4,0.04985,0.09498,0.1361,0.0182,0.12737,0.09716,0.0393,0.06477,0.05167,0.21689,0.04258,0.06114,99,66.2,3,109
Beethoven,KatelynTran,USA,F,SonataNo23InFMinorOp571stMov,547,207,4/4,0.17494,0.10237,0.02263,0.08302,0.0877,0.11142,0.03652,0.09348,0.13327,0.03199,0.08255,0.04011,115,65.29,3,126
Beethoven,AndrejJussow,Germany,M,SonataInCMinorOp1111stMov,549,214,4/4,0.14716,0.0608,0.07322,0.12306,0.03378,0.12452,0.03104,0.14588,0.11393,0.02684,0.06573,0.05404,111,65.01,2,116
Beethoven,AndrejJussow,Germany,M,SonataInCMinorOp111,1620,210,4/4,0.13737,0.03411,0.11206,0.06627,0.10391,0.09489,0.02156,0.17962,0.06569,0.06872,0.04182,0.07398,110,56.76,3,114
Beethoven,DaeHyungAhn,SouthKorea,F,SonataInAFlatMajorOp1101stMov,368,220,4/4,0.12775,0.08379,0.0261,0.19334,0.02816,0.08104,0.0237,0.09135,0.17411,0.02301,0.10783,0.03984,97,50.48,3,103
Beethoven,ChristineLuo,Australia,F,SonataInCMajorOp2No31stMov,433,202,4/4,0.14697,0.02781,0.15176,0.02326,0.11508,0.09087,0.05203,0.17238,0.02757,0.08655,0.0187,0.08703,94,66.97,7,102
Beethoven,JoselynLai,Canada,F,SonataNo26InEFlatMajorOp81A1stMov,350,220,4/4,0.11335,0.02054,0.08254,0.13426,0.01541,0.13793,0.02605,0.10895,0.08694,0.03485,0.19993,0.03925,101,63.72,3,107
Beethoven,AysedenizGokcin,Turkey,F,SonataInAFlatMajorOp1104thMov,569,203,4/4,0.09096,0.07549,0.08467,0.14548,0.03093,0.07261,0.04273,0.11166,0.12189,0.04246,0.12267,0.05845,100,57.12,3,105
Beethoven,ChengGuang,China,M,SonataNo18InEFlatMajorOp31No31stMov,365,210,4/4,0.14461,0.01716,0.08425,0.16115,0.02482,0.15043,0.0242,0.10723,0.09099,0.0481,0.12316,0.0239,92,62.73,3,103
Beethoven,SuYeonKim,SouthKorea,F,SonataNo26InEFlatMajorOp81A1stMov,346,211,4/4,0.11791,0.01776,0.08125,0.13832,0.01436,0.13832,0.02494,0.10884,0.08314,0.03477,0.20597,0.03439,99,60.43,4,111
Beethoven,LindaRuan,Canada,F,PianoSonataNo8InCMinorOp131stMov,398,210,4/4,0.02229,0.10652,0.16643,0.02678,0.11695,0.03353,0.10202,0.0779,0.05111,0.15028,0.05377,0.09241,95,70.5,3,104
Beethoven,MelanieHebert,Canada,F,SonataNo7InDMajorOp10No31stMov,283,201,4/4,0.02244,0.09858,0.17812,0.02557,0.11222,0.0375,0.09716,0.09517,0.04148,0.14233,0.06307,0.08636,88,70.81,2,106
Beethoven,SuYeonKim,SouthKorea,F,32VariationsInCMinor,590,206,4/4,0.18333,0.01673,0.11559,0.08268,0.0421,0.10147,0.0325,0.17921,0.0521,0.06856,0.03442,0.09132,110,66.72,2,114
Beethoven,AmberLiao,Taiwan,F,SonataInEMajorOp1093rdMov,600,213,4/4,0.01527,0.14716,0.01549,0.08453,0.12127,0.01461,0.10998,0.02412,0.10954,0.10157,0.02633,0.23014,97,59.41,7,106
Beethoven,FrankDupree,Germany,M,SonataNo32InCMinorOp1111stMov,557,219,4/4,0.14609,0.05984,0.0716,0.12059,0.03508,0.12837,0.03056,0.14717,0.113,0.02857,0.06473,0.05442,106,72.26,2,115
Beethoven,MichailNamirovsky,Israel,M,SonataOp10No21stMov,256,207,4/4,0.17876,0.0291,0.11262,0.02381,0.08995,0.14097,0.02797,0.13832,0.0257,0.1096,0.07256,0.05064,94,63.59,3,104
Beethoven,HenryWongDoe,NewZealand,M,SonataInAMajorOp101,1257,198,4/4,0.09204,0.06818,0.08336,0.03244,0.15584,0.07248,0.06679,0.06818,0.07477,0.14346,0.04412,0.09833,107,63.91,2,109
Beethoven,SijingYe,China,F,SonataNo26InEFlatMajorOp81A1stMov,350,213,4/4,0.11638,0.01744,0.08226,0.13874,0.01327,0.1395,0.0254,0.10842,0.08453,0.03639,0.20243,0.03525,96,62.14,3,109
Beethoven,HenryWongDoe,NewZealand,M,SonataInFMajorOp541stMov,349,191,4/4,0.15245,0.05685,0.10045,0.03521,0.10401,0.16085,0.00807,0.11305,0.03198,0.09432,0.11111,0.03165,107,66.35,3,113
Beethoven,AngeloArchiglione,Italy,M,SonataOp221stMov,321,199,4/4,0.11695,0.04062,0.12083,0.07503,0.05692,0.16404,0.02329,0.08668,0.02122,0.10841,0.16611,0.01992,98,68.85,4,115
Beethoven,AlessandroTaverna,Italy,M,SonataInEFlatMajorOp27LstMov,583,219,4/4,0.07423,0.0346,0.08469,0.14444,0.02052,0.13297,0.02997,0.09053,0.12472,0.02434,0.21565,0.02334,103,66.64,2,108
Beethoven,SarahTuan,USA,F,SonataNo17Op31No21stMov,385,198,4/4,0.0544,0.09325,0.13387,0.01801,0.12646,0.0982,0.03744,0.06464,0.05051,0.21865,0.04415,0.0604,102,67.71,3,124
Beethoven,DenisZhdanov,Ukraine,M,SonataInEFlatMajorOp81A,935,204,4/4,0.10594,0.02432,0.09082,0.13375,0.01967,0.13216,0.03658,0.12941,0.06957,0.0443,0.18788,0.02559,111,66.14,2,114
Beethoven,SashaBultIto,USA,F,SonataNo3InCMajorOp2No31stMov,446,195,4/4,0.14332,0.02945,0.1516,0.02208,0.11433,0.09294,0.0536,0.16724,0.0306,0.08696,0.01978,0.08811,94,70.53,4,109
Beethoven,DenisZhdanov,Ukraine,M,SonataInAMajorOp1011stMov,236,147,4/4,0.02093,0.11318,0.06434,0.05426,0.1938,0.01938,0.0938,0.01163,0.11318,0.14729,0.01705,0.15116,96,50.19,2,102
Beethoven,DarrettZusko,Canada,M,SonataInFSharpMajorOp781stMov,269,215,4/4,0.03216,0.17845,0.02367,0.11449,0.03428,0.07915,0.16926,0.02049,0.13039,0.01802,0.09399,0.10565,108,59.4,3,113
Beethoven,TamiLin,Canada,F,SonataNo3InCMajorOp2No31stMov,408,203,4/4,0.1443,0.02959,0.15095,0.02317,0.11241,0.09199,0.05276,0.16862,0.03166,0.08741,0.02065,0.08649,95,67.22,3,104
Beethoven,HowardNa,USA,M,SonataInAFlatMajorOp110,1076,197,4/4,0.11695,0.07818,0.05867,0.148,0.03548,0.08768,0.03358,0.10834,0.1423,0.03168,0.11011,0.04904,111,57.99,1,115
Beethoven,MuradAdigezalzade,Azerbeijan,M,SonataInAFlatOp110,1103,204,4/4,0.11813,0.07818,0.05746,0.14747,0.036,0.08816,0.03194,0.109,0.14513,0.02935,0.11134,0.04784,97,65.22,10,109
Beethoven,AlessandroTaverna,Italy,M,VariationsAndFugueInEFlatMajorOp35,1531,188,4/4,0.077,0.01228,0.09399,0.14082,0.01569,0.12155,0.0109,0.12481,0.11424,0.02724,0.24197,0.01951,107,66.26,3,117
Beethoven,PavelGintov,Ukraine,M,FantasiaOp77,527,212,4/4,0.03857,0.11331,0.04696,0.09772,0.11591,0.05496,0.14488,0.06015,0.05276,0.06295,0.09892,0.11291,114,68.24,2,120
Beethoven,MinJooYi,SouthKorea,F,SonataNo23InFMinorOp571stMov,576,205,4/4,0.17513,0.10184,0.01967,0.0828,0.08994,0.11152,0.03712,0.09613,0.13277,0.02839,0.08677,0.03791,110,61.97,2,115
Beethoven,YonggiuLiu,China,F,32VariationsInCMinor,608,218,4/4,0.18495,0.01628,0.11505,0.08372,0.04131,0.10178,0.03242,0.17839,0.05171,0.06854,0.03584,0.09001,110,65.89,3,117
Beethoven,AnnaKavalerova,Russia,F,SonataInAMajorOp1101stMov,370,228,4/4,0.12882,0.08284,0.02738,0.18919,0.02843,0.08249,0.02527,0.09196,0.17234,0.02457,0.10706,0.03966,90,57.14,4,102
Beethoven,AnnaShelest,USA,F,SonataInEMajorOp1091stMov,218,204,4/4,0.03439,0.07275,0.01918,0.125,0.13426,0.02844,0.11839,0.03571,0.12765,0.06746,0.04828,0.18849,94,58.75,3,106
Beethoven,TamiLin,Canada,F,SonataNo3InCMajorOp2No31stMov(2),431,181,4/4,0.14377,0.02908,0.15018,0.02381,0.11241,0.09043,0.05426,0.16918,0.03274,0.08654,0.0206,0.087,102,68.78,2,109
Beethoven,EmiNakajima,USA,F,SonataNo11InBFlatMajorOp221stMov,352,202,4/4,0.11843,0.0366,0.12209,0.07137,0.05778,0.16889,0.02092,0.08654,0.01908,0.11033,0.16915,0.01882,86,62.96,12,105
Beethoven,ZitongWang,China,F,SonataNo7InDMajorOp10No31stMov,278,199,4/4,0.024,0.09828,0.17933,0.02626,0.1124,0.03502,0.09743,0.09235,0.0418,0.14374,0.06298,0.08642,102,67.41,2,113
Beethoven,VictorMaslov,Russia,M,SonataInEMajorOp1093rdMov,738,192,4/4,0.01409,0.14451,0.01285,0.08814,0.12168,0.01178,0.11383,0.0264,0.11418,0.10134,0.0273,0.22391,101,58.81,3,105
Beethoven,HwakyuLee,SouthKorea,F,SonataInDMajorOp281stMov,466,210,4/4,0.01865,0.11753,0.1906,0.01431,0.10475,0.02887,0.13873,0.06796,0.05621,0.13975,0.03679,0.08585,92,54.32,6,97
Beethoven,YixiangHou,China,M,SonataNo32InCMinorOp1111stMov,547,212,4/4,0.14781,0.06044,0.07287,0.1222,0.03239,0.1254,0.03069,0.14348,0.11617,0.02768,0.06571,0.05517,105,64.84,2,107
Beethoven,VivianWang,USA,F,SonataNo24InFSharpMajorOp781stMov,428,207,4/4,0.02797,0.16733,0.02609,0.10435,0.04183,0.07356,0.17039,0.01974,0.13255,0.0188,0.09706,0.12033,95,63.83,3,110
Beethoven,KonstantinShamray,Russia,M,SonataInEFlatMajorOp71stMov,342,207,4/4,0.08595,0.02849,0.10651,0.15804,0.03815,0.13079,0.02428,0.10874,0.07803,0.05697,0.15135,0.0327,102,69.3,2,112
Beethoven,VictorMaslov,Russia,M,SonataInEMajorOp1092ndMov,146,222,4/4,0.075,0.03958,0.06528,0.04375,0.13611,0.02361,0.14236,0.125,0.01528,0.08333,0.0375,0.21319,83,69.39,7,109
Beethoven,KevinChow,Australia,M,SonataNo29InBFlatMajorOp1064thMov,675,217,4/4,0.09459,0.06571,0.0967,0.08787,0.07131,0.09969,0.06932,0.09247,0.05538,0.0967,0.11014,0.06011,115,70.82,2,118
Beethoven,ValerieNarumi,USA,F,PianoSonataNo3InCMajorOp2No3,423,204,4/4,0.14397,0.03008,0.14535,0.0248,0.11366,0.08955,0.05327,0.1667,0.03031,0.08932,0.0225,0.09047,101,69.87,3,106
Beethoven,VictorMaslov,Russia,M,SonataInEMajorOp1091stMov,223,205,4/4,0.03517,0.07233,0.01924,0.12674,0.13603,0.0292,0.11944,0.03517,0.12807,0.06437,0.04645,0.18779,82,59.96,17,101
Beethoven,YuZhao,China,M,SonataOp71stMov,333,207,4/4,0.08631,0.02869,0.10726,0.1569,0.03866,0.12946,0.02544,0.11,0.07708,0.05687,0.15066,0.03268,94,69.84,2,102
Beethoven,YinfeiWang,China,M,SonataNo28InAMajorOp1013rdMov,607,222,4/4,0.04422,0.07454,0.09078,0.02635,0.20231,0.03158,0.08356,0.04584,0.09403,0.16279,0.0092,0.13481,98,68.9,3,108
Beethoven,YinfeiWang,China,M,SonataNo28InAMajorOp1011stMov,237,135,4/4,0.02008,0.11197,0.06255,0.05405,0.19691,0.01853,0.09421,0.01081,0.11351,0.14903,0.01467,0.15367,87,56.82,3,102
Beethoven,NinaHu,China,F,SonataNo26InEFlatMajorOp81A1stMov,407,215,4/4,0.11706,0.01664,0.0856,0.13279,0.01331,0.14882,0.0245,0.10587,0.07562,0.04053,0.20569,0.03358,104,59.95,3,114
Beethoven,HeleneTysman,France,F,SonataInEFlatMajorOp81A,815,201,4/4,0.10451,0.02401,0.08801,0.13603,0.02146,0.12718,0.03944,0.12892,0.07566,0.03998,0.18473,0.03005,107,61.04,3,109
Beethoven,EunjinLee,SouthKorea,F,SonataInDMajorOp10No31stMov,300,218,4/4,0.02326,0.09851,0.17978,0.02642,0.11287,0.03475,0.09707,0.0919,0.04222,0.14273,0.06232,0.08817,94,65.09,3,109
Beethoven,EdisherSavitski,Georgia,M,SonataInAFlatMajorOp26,1152,193,4/4,0.10951,0.0826,0.04287,0.20098,0.03264,0.06925,0.03275,0.10242,0.1529,0.01898,0.11973,0.03536,102,60.96,6,108
Beethoven,NoaLeighKleisen,Netherlands,F,SonataNo12InAFlatMajorOp261stMov,410,207,4/4,0.10864,0.07389,0.02599,0.25924,0.01597,0.07796,0.01127,0.09267,0.18973,0.02192,0.10457,0.01816,93,54.3,3,101
Beethoven,ChengGuang,China,M,SonataNo18InEFlatMajorOp31No33rdMov,257,137,4/4,0.04765,0.00268,0.08591,0.22081,0.00268,0.11074,0.0094,0.12081,0.11275,0.0094,0.24362,0.03356,87,53.54,18,112
Beethoven,VivianLou,Canada,F,SonataNo24InFSharpMajorOp78,399,216,4/4,0.0321,0.16452,0.02932,0.0978,0.04119,0.07859,0.17488,0.0182,0.1112,0.03437,0.10184,0.116,96,64.72,7,109
Beethoven,NinaHu,China,F,32VariationsInCMinor,669,204,4/4,0.18171,0.01703,0.11757,0.08186,0.04285,0.10191,0.03283,0.1758,0.05192,0.07005,0.03447,0.09202,112,63.7,3,118
Beethoven,EricZuber,USA,M,SonataInAFlatMajorOp110,1184,200,4/4,0.11885,0.07759,0.0566,0.14758,0.03573,0.08864,0.03192,0.11062,0.14487,0.02959,0.11087,0.04715,112,61.51,3,114
Beethoven,KevinChow,Australia,M,SonataNo29InBFlatMajorOp1063rdMov,954,174,4/4,0.03029,0.16505,0.09223,0.04427,0.04971,0.05825,0.15495,0.05942,0.0833,0.1033,0.05184,0.10738,94,48.39,3,96
Beethoven,YinfeiWang,China,M,SonataNo28InAMajorOp1012ndMov,336,228,4/4,0.1956,0.03826,0.06882,0.03312,0.07938,0.15705,0.02684,0.11936,0.03055,0.11479,0.10737,0.02884,91,72.22,3,105
Beethoven,KevinChow,Australia,M,SonataNo29InBFlatMajorOp1062ndMov,152,209,4/4,0.10883,0.09727,0.07045,0.0673,0.01788,0.20294,0.01945,0.06782,0.04311,0.06414,0.1551,0.0857,110,61.96,2,114
Beethoven,YixiangHou,China,M,SonataNo32InCMinorOp1112ndMov,1044,152,4/4,0.1321,0.01726,0.12372,0.03348,0.14766,0.07546,0.01687,0.20939,0.03191,0.10201,0.02524,0.08488,102,51.44,3,106
Beethoven,EricZuber,USA,M,SonataInCMajorOp531stMov,455,208,4/4,0.13304,0.03367,0.09035,0.05247,0.11981,0.08614,0.0442,0.12417,0.05983,0.09726,0.03984,0.11921,103,68.17,3,116
Beethoven,WaiYuenWong,China,F,32VariationsInCMinor,655,197,4/4,0.18367,0.01772,0.11547,0.08271,0.0427,0.10097,0.03263,0.17938,0.05209,0.06834,0.03477,0.08955,108,70.09,3,116
Beethoven,KevinChow,Australia,M,SonataNo29InBFlatMajorOp1061stMov,648,217,4/4,0.10033,0.03496,0.15116,0.08375,0.0439,0.1156,0.06228,0.1094,0.03663,0.07182,0.12694,0.06323,113,67.17,1,115
Beethoven,MayukiMiyashita,Japan,F,SonataNo3InCMajorOp2No31stMov,449,197,4/4,0.14243,0.03014,0.1491,0.02577,0.11183,0.09158,0.05315,0.16659,0.03244,0.08675,0.02347,0.08675,101,70.51,3,112
Berg,RyanLeung,China,M,SonataOp1,477,193,4/4,0.08687,0.07184,0.10099,0.07695,0.08927,0.07154,0.09708,0.07695,0.07274,0.08807,0.07845,0.08927,110,67.89,2,114
Berg,FrankDuepree,Germany,M,SonataOp1,772,159,4/4,0.08345,0.07703,0.09772,0.07941,0.08773,0.07038,0.09677,0.07846,0.07038,0.08749,0.08084,0.09035,117,70.32,3,124
Berg,AlexSolomon,USA,M,SonataInBMinorOp1,655,191,4/4,0.08593,0.07665,0.09807,0.07903,0.08546,0.07046,0.09545,0.07784,0.07046,0.08736,0.0826,0.09069,104,65.52,6,113
Berg,Jean-SelimAbdelmoula,Switzerland,M,SonataOp1,708,170,4/4,0.08244,0.0772,0.09745,0.08101,0.08816,0.07005,0.09554,0.0791,0.07172,0.08482,0.08149,0.09102,107,64.9,2,111
Berio,FrankDupree,Germany,M,Wasserklavier,121,205,4/4,0.17557,0.15267,0.00254,0.10178,0.00763,0.24936,0.03817,0.05344,0.0916,0.00254,0.12468,0.0,49,48.13,3,73
Berio,AngeloArchiglione,Italy,M,WasserklaiverFromSixEncores,111,143,4/4,0.17347,0.15051,0.00255,0.10459,0.00765,0.24745,0.03827,0.05357,0.09184,0.00255,0.12755,0.0,57,46.02,10,73
Berio,FrankDupree,Germany,M,Luftklavier,163,218,4/4,0.08949,0.0698,0.14362,0.12438,0.07338,0.11365,0.05906,0.07383,0.05101,0.1123,0.05324,0.03624,91,60.08,4,106
Berio,FrankDupree,Germany,M,Feuerklavier,154,213,4/4,0.05703,0.10193,0.12214,0.04176,0.09924,0.08128,0.16165,0.06646,0.08621,0.05344,0.05523,0.07364,92,67.07,3,116
Berio,AngeloArchiglione,Italy,M,BrinAndLuftklavierFromSixEncores,251,213,4/4,0.08664,0.07629,0.13534,0.12328,0.06422,0.0931,0.07284,0.06983,0.05517,0.13405,0.05345,0.03578,105,53.93,3,109
Bowen,EstherPark,SouthKorea,F,ToccattaOp155,246,203,4/4,0.08229,0.06679,0.08867,0.06109,0.13358,0.09961,0.06223,0.06063,0.08594,0.10645,0.07841,0.07431,110,70.32,6,122
Brahms,AnnaGolubeva,Russia,F,PaganiniVariationsOp35Book2,639,213,4/4,0.10614,0.03914,0.10094,0.03629,0.16894,0.07803,0.0379,0.06564,0.06849,0.16993,0.02811,0.10045,110,66.53,2,112
Brahms,EricLu,USA,M,SixPievesForPianoOp118,1337,192,4/4,0.09718,0.0644,0.09537,0.0723,0.07774,0.09633,0.09141,0.07721,0.06354,0.12238,0.07774,0.0644,105,62.51,2,108
Brahms,HaichunWang,China,F,FantasiasOp116SelectionsNo4,275,174,4/4,0.03846,0.11652,0.02262,0.09276,0.18326,0.00452,0.10973,0.02262,0.1267,0.11199,0.02941,0.1414,85,49.99,3,96
Brahms,JonghwaPark,SouthKorea,M,VariationsOnAThemeByPaganiniOp35Book2,687,212,4/4,0.10862,0.03799,0.10314,0.03353,0.16866,0.0807,0.03353,0.06566,0.06668,0.17402,0.02728,0.1002,110,69.87,3,113
Brahms,HaichunWang,China,F,FantasiasOp116Selections,982,184,4/4,0.09031,0.05948,0.11177,0.07014,0.11206,0.07562,0.04926,0.09189,0.0566,0.12444,0.08728,0.07115,112,64.82,3,116
Brahms,Mei-TingSun,USA,M,VariationsOnAThemeByPaganiniBooks1And2,1298,207,4/4,0.10509,0.04302,0.10201,0.03995,0.16924,0.08374,0.03863,0.06283,0.07331,0.15854,0.03106,0.09258,113,68.88,6,118
Brahms,SerhiiMorozov,Ukraine,M,SonataNo3InFMinorOp5,2009,193,4/4,0.1136,0.11272,0.04237,0.11197,0.04813,0.13288,0.06722,0.0763,0.11592,0.04156,0.10359,0.03374,105,58.72,2,106
Brahms,HowardNa,USA,M,SonataNo1InCMajorOp1,1578,200,4/4,0.12427,0.04526,0.09812,0.04619,0.13831,0.07852,0.06739,0.12978,0.04322,0.09416,0.0405,0.09429,113,70.27,2,115
Brahms,KenseiYamaguchi,Japan,M,SonataNo1Op1InCMajor,1599,202,4/4,0.12391,0.04847,0.09838,0.04784,0.13327,0.07833,0.06758,0.12969,0.04369,0.0938,0.04193,0.0931,107,67.74,6,112
Brahms,KaiwenZhao,China,M,VariationsOnAThemeByPaganiniOp35Book2,630,220,4/4,0.10776,0.03912,0.10103,0.03513,0.16868,0.07948,0.03787,0.06528,0.06939,0.17042,0.02703,0.09879,112,74.83,3,121
Brahms,TatianaKolesova,Russia,F,PaganiniVariationsBook1Book2,1450,206,4/4,0.10359,0.04498,0.09859,0.04294,0.16729,0.08255,0.03993,0.06306,0.07525,0.15645,0.03397,0.0914,107,67.2,6,114
Brahms,ChaeyoungPark,USA,F,VariatinsOnAThemeOfPaganiniOp35Book2,678,212,4/4,0.1051,0.04414,0.10034,0.03877,0.15923,0.08059,0.03901,0.06645,0.07071,0.16459,0.03328,0.09778,117,71.3,2,124
Brahms,YuliannaAvdeeva,Russia,F,FantasienOp116,1358,182,4/4,0.08708,0.06443,0.0994,0.07006,0.11654,0.07147,0.05985,0.08415,0.06161,0.12428,0.07722,0.08391,108,62.42,3,112
Brahms,HaichunWang,China,F,FantasiasOp116SelectionsNo1,145,202,4/4,0.07445,0.07981,0.11078,0.05718,0.09827,0.12805,0.03752,0.10423,0.03335,0.09946,0.13996,0.03693,103,69.41,3,116
Brahms,TatianaKolesova,Russia,F,PaganiniVariationsBook1,745,207,4/4,0.10121,0.04817,0.09911,0.04578,0.17041,0.08487,0.04014,0.05993,0.07904,0.15139,0.03307,0.08688,102,64.01,6,107
Brahms,DenisZhdanov,Ukraine,M,PaganiniVariationsOp35Book2,623,223,4/4,0.10744,0.03924,0.1016,0.03505,0.16739,0.07925,0.03505,0.06439,0.06934,0.17132,0.02731,0.10262,110,66.5,2,111
Brahms,CalebBorick,USA,M,RhapsodyOp79No1,553,191,4/4,0.04389,0.10923,0.10274,0.04339,0.07157,0.07057,0.17032,0.0601,0.0419,0.06958,0.10623,0.11047,108,67.1,3,111
Brahms,DenisZhdanov,Ukraine,M,PaganiniVariationsOp35Book1-Book2,1277,213,4/4,0.10363,0.04449,0.10177,0.041,0.1671,0.0833,0.03678,0.06347,0.07445,0.16073,0.02991,0.09338,117,68.25,3,123
Brahms,SehoYoung,USA,M,VariationsOnAThemeByPaganiniOp35Book2,636,211,4/4,0.10773,0.03828,0.10212,0.03591,0.16633,0.07943,0.03579,0.06534,0.0682,0.17282,0.02818,0.09988,113,69.51,3,116
Brahms,JoshuaIzzard,USA,M,PaganiniVariationsOp35Book1,767,205,4/4,0.10186,0.04511,0.09977,0.04262,0.17395,0.08593,0.03644,0.06044,0.07757,0.15623,0.03027,0.08981,108,64.57,3,114
Brahms,AnastasyaTerenkova,Russia,F,PaganiniVariationsOp35Book1,742,210,4/4,0.09974,0.0467,0.10003,0.04251,0.16896,0.08696,0.03783,0.06201,0.078,0.15619,0.03227,0.08882,103,61.78,3,108
